Speaker,Block,Position,Word,POA,V,Rep,V1,C,V2,v1F2_1,v1F2_2,v1F2_3,v1F2_4,v1F2_5,v1F3_1,v1F3_2,v1F3_3,v1F3_4,v1F3_5,v2F2_1,v2F2_2,v2F2_3,v2F2_4,v2F2_5,v2F3_1,v2F3_2,v2F3_3,v2F3_4,v2F3_5
M08,1,VC,muuSika,retroflex,u,rep1,u,S,i,687.8,790.9,982.5,1184.4,1328.1,2390.8,2356.8,2314.6,2671.4,2634.6,2370.6,2291.7,2289.5,2294.9,2302.8,3122.1,3276.3,3359.8,3367.3,3451.1
M08,1,VC,muuSika,retroflex,u,rep2,u,S,i,707.7,490.2,1038.5,1238.4,1505.3,1659.6,877.2,2421.1,2671.3,2622.4,2277.2,2538.7,2454.3,2413.4,2410.3,3049.3,3443.2,3221.2,3153.7,3174.9
M08,1,VC,naamooSigaa,retroflex,o,rep1,o,S,i,846.1,906.3,1023.5,1184.6,1356.4,2465.3,2532.4,2636,2494.5,2654.3,2299.3,2298.9,2350.4,2388.4,2365,3210.1,3317.3,3283,3144.6,3019.3
M08,1,VC,naamooSigaa,retroflex,o,rep2,o,S,i,789.6,941.2,1058.2,1287.4,1487.3,2437.4,2835.5,2640.1,2735.7,2902.1,2212.8,2231.7,2271,2311.1,2374.1,2970,2995.3,3006.3,2988.6,2900.7
M08,1,VC,niivaasam,alveolar,a,rep1,a,s,a,1270.9,1329.3,1365.3,1346.5,1527,3152.3,3099.9,3090.3,3150.1,3196.9,1254.7,1348.9,1331.1,1335.5,1225.6,2985,3025.5,3037.7,3063.4,3210.2
M08,1,VC,niivaasam,alveolar,a,rep2,a,s,a,1262.8,1302.7,1328.9,1280.3,1426.7,3154.5,3121.1,3035.9,1954.2,3150.7,1265.3,1251,1258.3,1324.3,1294.9,3106,3107.6,3118.7,3186.7,3178.6
M08,1,VC,niraashaa,palatal,a,rep1,a,sh,a,1449,1560,1580.8,1803.2,1880,2980,3622.7,3105.5,3038.8,3108.3,1582.2,1604.8,1571.5,1544.2,1531.3,2940.5,3014.6,2964,3052.9,3058.2
M08,1,VC,niraashaa,palatal,a,rep2,a,sh,a,1513.6,1524.4,1560.5,1607,1909.4,3058.8,3299.7,3055.3,3213.7,3364.7,1523.6,1539.7,1508,1509.9,1492.7,2975.9,3019.4,2957,3039.9,3084.8
M08,1,VC,peedaraasi,alveolar,a,rep1,a,s,i,1462,1447.4,1501,1522.5,1570.3,3115.2,3112,3116.3,3133,3074.4,2087.8,2203.7,2219.6,2299.4,2290,2743.8,2769.7,2812.7,2936.8,3013.2
M08,1,VC,peedaraasi,alveolar,a,rep2,a,s,i,1473,1475.7,1504.2,1500.1,1700.3,3256.9,3234.8,3326.1,3110.6,3099.1,2143.4,2200.4,2242.5,2313.2,2484.5,2936,2881.3,2908,3007.8,2994.2
