Vowel	Ceiling	F2	F3
ee	6100	2431.3	3101.6
ee	6200	2432.2	3109.9
ee	6300	2436.8	3123.0
ee	6400	2445.2	3140.6
ee	6500	2456.7	3162.0
ii	4500	2487.2	2999.1
ii	4600	2479.8	2991.4
ii	4700	2475.8	2988.6
ii	4800	2492.2	3012.8
ii	4900	2510.5	3033.3
ii	5000	2532.6	3053.1
ii	5100	2553.6	3043.1
ii	5200	2555.7	2956.5
ii	5300	2529.4	2872.7
ii	5400	2496.7	2887.7
ii	5500	2477.8	2906.7
ii	5600	2475.5	2931.8
ii	5700	2481.8	2956.6
ii	5800	2492.7	2982.9
ii	5900	2506.5	3009.9
ii	6000	2520.1	3036.6
ii	6100	2536.7	3066.9
ii	6200	2550.6	3095.4
ii	6300	2565.7	3126.8
ii	6400	2582.2	3164.2
ii	6500	2594.9	3197.1
ii	4500	2699.7	3251.6
ii	4600	2702.8	3265.3
ii	4700	2706.3	3279.8
ii	4800	2706.6	3283.7
ii	4900	2708.0	3288.4
ii	5000	2702.7	3267.1
ii	5100	2708.0	3284.6
ii	5200	2714.1	3303.7
ii	5300	2718.9	3318.0
ii	5400	2725.6	3336.8
ii	5500	2728.4	3338.0
ii	5600	2724.6	3302.8
ii	5700	2714.5	3253.6
ii	5800	2704.7	3234.2
ii	5900	2700.4	3239.2
ii	6000	2700.9	3254.0
ii	6100	2704.6	3272.9
ii	6200	2710.8	3295.6
ii	6300	2717.8	3318.4
ii	6400	2725.6	3342.1
ii	6500	2733.8	3366.7
oo	4500	1010.5	3315.0
oo	4600	1011.8	3303.7
oo	4700	1009.5	3312.5
oo	4800	1008.3	3315.0
oo	4900	1000.7	3336.8
oo	5000	993.1	3357.7
oo	5100	989.6	3355.4
oo	5200	988.6	3319.3
oo	5300	989.1	3310.0
oo	5400	990.8	3319.3
oo	5500	992.7	3343.5
oo	5600	995.3	3367.6
oo	5700	997.8	3396.3
oo	5800	1000.5	3423.9
oo	5900	1003.4	3461.6
oo	6000	1004.4	3489.9
oo	6100	1003.8	3517.3
oo	6200	999.3	3542.2
oo	6300	990.1	3564.5
oo	6400	974.5	3584.0
oo	6500	949.5	3600.6
oo	4500	1008.4	3220.5
oo	4600	1007.0	3226.0
oo	4700	1007.5	3216.9
oo	4800	1004.3	3229.1
oo	4900	1001.1	3238.9
oo	5000	993.8	3260.4
oo	5100	989.9	3251.9
oo	5200	988.8	3208.4
oo	5300	989.2	3196.1
oo	5400	990.2	3203.0
oo	5500	991.8	3225.8
oo	5600	993.5	3248.5
oo	5700	995.7	3281.3
oo	5800	997.8	3311.4
oo	5900	999.8	3343.9
oo	6000	1001.2	3375.9
oo	6100	1001.6	3408.1
oo	6200	1000.3	3439.3
oo	6300	996.1	3471.5
oo	6400	988.3	3500.5
oo	6500	975.2	3527.5
uu	4500	1032.9	3267.6
uu	4600	1038.7	3254.0
uu	4700	1035.3	3260.4
uu	4800	1025.5	3275.6
uu	4900	1008.4	3295.5
uu	5000	989.1	3316.2
uu	5100	974.9	3333.7
uu	5200	967.3	3340.9
uu	5300	963.9	3322.5
uu	5400	963.1	3278.8
uu	5500	963.9	3246.2
uu	5600	965.2	3234.1
uu	5700	967.3	3237.4
uu	5800	970.3	3254.3
uu	5900	972.8	3266.1
uu	6000	976.5	3291.6
uu	6100	979.6	3312.0
uu	6200	982.7	3342.1
uu	6300	984.2	3370.2
uu	6400	982.0	3417.1
uu	6500	971.5	3453.4
uu	4500	917.7	3192.8
uu	4600	919.2	3185.7
uu	4700	919.2	3184.5
uu	4800	918.1	3191.8
uu	4900	916.8	3200.2
uu	5000	915.6	3207.8
uu	5100	914.8	3210.3
uu	5200	914.4	3205.2
uu	5300	914.6	3196.5
uu	5400	914.8	3190.3
uu	5500	915.2	3191.3
uu	5600	915.7	3194.4
uu	5700	916.4	3205.9
uu	5800	917.2	3216.0
uu	5900	918.1	3228.6
uu	6000	919.0	3241.4
uu	6100	919.9	3253.6
uu	6200	920.5	3263.8
uu	6300	921.0	3277.4
uu	6400	920.9	3288.1
uu	6500	919.6	3304.5
uu	4500	981.9	1643.9
uu	4600	984.5	1680.5
uu	4700	995.7	2986.5
uu	4800	1006.4	3106.1
uu	4900	1003.3	3126.4
uu	5000	996.7	3150.7
uu	5100	990.8	3154.9
uu	5200	987.8	3111.5
uu	5300	986.9	3064.7
